CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,Description,Prerequisites,Division Requirement
206,FYE 101 B,First Year Experience II,1 p/f,F 1:05-2:30 PM in CL3-10,staff,"The FYE sequence (FYE 100 and FYE 101) supports students holistically in their transition
                              to the academic, leadership, and social terrains of Simon's Rock. It is designed to
                              help students develop skills that will enable them to thrive during their time on
                              campus. Students will explore a variety of topics, including success strategies, personal
                              goals and self-awareness, civic responsibility and social action, and areas of personal
                              and professional interest. Students will develop essential skills, behaviors, and
                              attitudes that are necessary for student success.",,
208,FYE 101 C,First Year Experience II,1 p/f,F 1:05-2:30 PM in CL3-12,staff,"The FYE sequence (FYE 100 and FYE 101) supports students holistically in their transition
                              to the academic, leadership, and social terrains of Simon's Rock. It is designed to
                              help students develop skills that will enable them to thrive during their time on
                              campus. Students will explore a variety of topics, including success strategies, personal
                              goals and self-awareness, civic responsibility and social action, and areas of personal
                              and professional interest. Students will develop essential skills, behaviors, and
                              attitudes that are necessary for student success.",,
209,FYE 101 D,First Year Experience II,1 p/f,F 1:05-2:30 PM in CL3-11,staff,"The FYE sequence (FYE 100 and FYE 101) supports students holistically in their transition
                              to the academic, leadership, and social terrains of Simon's Rock. It is designed to
                              help students develop skills that will enable them to thrive during their time on
                              campus. Students will explore a variety of topics, including success strategies, personal
                              goals and self-awareness, civic responsibility and social action, and areas of personal
                              and professional interest. Students will develop essential skills, behaviors, and
                              attitudes that are necessary for student success.",,
210,FYE 101 E,First Year Experience II,1 p/f,F 2:40-4:05 PM in CL3-09,staff,"The FYE sequence (FYE 100 and FYE 101) supports students holistically in their transition
                              to the academic, leadership, and social terrains of Simon's Rock. It is designed to
                              help students develop skills that will enable them to thrive during their time on
                              campus. Students will explore a variety of topics, including success strategies, personal
                              goals and self-awareness, civic responsibility and social action, and areas of personal
                              and professional interest. Students will develop essential skills, behaviors, and
                              attitudes that are necessary for student success.",,
211,FYE 101 F,First Year Experience II,1 p/f,F 2:40-4:05 PM in CL3-10,staff,"The FYE sequence (FYE 100 and FYE 101) supports students holistically in their transition
                              to the academic, leadership, and social terrains of Simon's Rock. It is designed to
                              help students develop skills that will enable them to thrive during their time on
                              campus. Students will explore a variety of topics, including success strategies, personal
                              goals and self-awareness, civic responsibility and social action, and areas of personal
                              and professional interest. Students will develop essential skills, behaviors, and
                              attitudes that are necessary for student success.",,
196,HIST 258,CP Africa in World History,3,MW 2:40-4:05 PM in CL3-09,Carla Stephens,"Often in the media and casual conversation, people in the United States will discuss
                              something, often negative, happening in ""Africa."" In this course, students will learn
                              that such discussions are, at best, imprecise, and rooted in a Eurocentric perspective
                              and white supremacist tradition. Africa is not a country. It is the second largest
                              continent in the world and contains a remarkable array of languages, societies, and
                              peoples. Africa is not an isolated place on the periphery of the world, but has been
                              integral to global developments since ancient times. Through maps, literature, and
                              other texts, students will examine the establishment, impact, and overthrow of European
                              colonial power in a sample of former British (Kenya & Zimbabwe), French (Algeria),
                              and Portuguese (Mozambique) colonies. In our exploration, we will touch on other African
                              countries.",No prerequisites.,Social Studies
12,ANTH 212,WCP Anthropology Goes to the Movies,3,MWF 1:35-2:30 PM in CL3-14,Nancy Bonvillain,"This course focuses on the ways that Indigenous filmmakers (directors and writers)
                              explore Indigenous lives, voices, and narratives.  Through viewing films and reading
                              texts about visual representation, we will consider questions such as: How are Indigenous
                              and other non-Western peoples depicted?   From whose points of view are the stories
                              told?  Whose voices dominate the film's narrative and perspective?  We will view films
                              from Indigenous filmmakers from many countries and continents, including Australia,
                              New Zealand, Africa, Native North and South America, India, China, and the Philippines.
                              The course will also consider how social and political issues involving Indigenous
                              peoples are presented.     Prerequisite: one course in social studies or film.",,Social Studies
15,ANTH 235AM 1,WCP Anthropological Encounters with Rapture and Rupture: Utopias,2,MW 1:05-2:30 PM in CL1-03,Kathryn Boswell,"This course examines collective social action in response to crises and transformations
                              in societies, with a particular focus on millenarian thinking. Millenarian thinking
                              is the belief that following a major transformation everything will be different,
                              due either to rapture (the rising up of a new, and better, society) or to rupture
                              (the destruction of existing, and good, social order). Various examples of millenarian
                              thinking, including apocalyptic expectations as found in major world and syncretic
                              religions and throughout history and across cultures, are examined. In Rapture and
                              Rupture Part I, we will explore utopian societies in 18th and 19th century America
                              such as The Shakers, The Oneida Community, Brook Farm, Icarians, and those communities
                              inspired by French philosopher Charles Fourier. We will then turn our attention to
                              a more contemporary utopian society turned tragic in the case of Jim Jones and the
                              Peoples Temple Agricultural Project (AKA ""Jonestown""). Finally, we conclude with an
                              examination of intentional communities, created in response to the pressures of capitalism,
                              climate change, and social injustice, in the United States, Denmark, Taiwan, Australia,
                              India, and Brazil.",,Social Studies
16,ANTH 235BM 2,WCP Anthropological Encounters with Rapture and Rupture: New Religious Movements,2,MW 1:05-2:30 PM in CL1-03,Kathryn Boswell,"This course examines collective social action in response to crises and transformations
                              in societies, with a particular focus on millenarian thinking. Millenarian thinking
                              is the belief that following a major transformation everything will be different,
                              due either to rapture (the rising up of a new, and better, society) or to rupture
                              (the destruction of existing, and good, social order). Various examples of millenarian
                              thinking, including apocalyptic expectations as found in major world and syncretic
                              religions and throughout history and across cultures, are examined. In Rapture and
                              Rupture Part II, we will explore New Religious Movements (NRM), movements with relatively
                              modern origins but which are peripheral to society’s dominant religious culture. We
                              explore pacifist movements such as the Bahá'í Faith, Christian Science, Jehovah’s
                              Witnesses, and the rise of the Rastafari movement. Frequently included under the NRM
                              label are those groups ultimately known as ""cults,"" whose histories are marked by
                              violence and individual or collective tragedy. Here, we examine Aum Shinrikyo in Japan,
                              Order of the Solar Temple, Heaven’s Gate, and the Branch Davidians, as well as The
                              Church of Scientology and the Albany, NY-based NXIVM, now in the news.",,Social Studies
234,ANTH 318,CP Body and Embodiment in Society,4,TR 10:35-12:00 PM in CL1-03,Kathryn Boswell,"This course explores how bodies and embodiment are social products of historical and
                              cultural environments. Bodies cannot be separated from lived, multi-sensory experiences,
                              and we investigate the ways in which we encounter and inhabit the world through our
                              bodies. The course considers how the body is experienced, expressed, controlled, imagined,
                              and (com)modified around the world. Our readings and discussions in this advanced
                              seminar will provide an introduction to ethnographic and theoretical understandings
                              of the body and embodiment in society. Theories and topics addressed in this course
                              include, but are not limited to: phenomenological approaches to the body; ideals of
                              beauty and gendered body modification; pain and suffering; commodified bodies and
                              body parts; moving, feeling and experiencing the body; disciplining and controlling
                              the body; the limits and the “end” of the body; decolonizing embodiment; and body
                              positivity.","A 200-level course in the Social Studies division or permission
                              of the instructor.",Social Studies
11,LING 218,W Language & Gender,3,MWF 11:10-12:05 PM in CL3-14,Nancy Bonvillain,"This course examines relationships between language and gender.  Specifically, how
                              and to what extent are gender differences manifested in language?  Do women and men
                              employ alternatives of pronunciation, vocabulary and grammatical structure?  Are men's
                              and women's conversational strategies significantly different?  Do languages encode
                              divergent cultural messages about women and men through the ways in which they label
                              or talk about people?  Although the majority of data considered is derived from English,
                              linguistic and cultural evidence from other societies will also be explored.",One course in social studies or linguistics.,Language and Literature
87,ARTH 119,Introduction to Art History: Modernity,3,MW 10:05-11:30 AM in DAC-125,Zoey Lubitz,"This class is designed as an introduction to art history, looking primarily at the
                              18th, 19th, and 20th centuries up to 1945, examining seminal artworks that changed
                              the world, caused an uproar, turned everything upside down; cultural production that
                              represented and emerged from a world changing at a rapid pace and in novel and unprecedented
                              ways. We begin by tracing the origins of art as a distinct field in ""Modern culture.""
                              We will look at European modernisms, including Dada, Futurism, Surrealism, Impressionism,
                              Realism, Brutalism, Romanticism, Capitalism, Communism, Colonialism, Nationalism (and
                              more) and we will ask: ""who decides what’s modern and what is valuable in art? Why?
                              Who stands to gain?"" At the same time, we will recognize the unevenness and complexity
                              of Modernisms in Asia, the Middle East, Africa and Latin America. Along the way we
                              will begin to explore the stakes and practice some of the fundamental methods and
                              skills for doing art history.",,Arts
249,ARTH 236/336,"CP Trans Aesthetics, Trans Critique: changing expressions of gender, sex and sexuality",3/4,MW 1:05-2:30 PM in DAC-025,Zoey Lubitz,"Trans people figure prominently in histories of the 20th century, making appearances
                              in bars, clinics, courtrooms, and entertainment media, however, the spectacle and
                              stakes of trans visibility in the US have never been more dramatized than in the media
                              and politics of today. This course analyzes art, music, literature, and film addressing
                              topics related to trans aesthetics and asks, what are the categories, judgments, and
                              strategies that define and are defined by trans people, trans cultural production,
                              and trans social practices? How do race, class, nationality, ability and other forms
                              of subjectification intersect or overdetermine these areas? This course cuts across
                              borders and times, both national and historical, as well as in the disciplines of
                              visual studies, media, history of science, art history, legal scholarship, and literature.","a 100-level art history course or suitable 100-level course in a humanities
                              discipline. To take the course at the 300-level, another 200-level theory or reading
                              heavy course in the humanities is required.",Arts
159,ARTS 211/311,Interactive Arts Workshop I & II,3/4,TR 2:40-4:05 PM in DAC-139,John Myers,"After introductory individual projects, students will work on collaborative teams
                              to create interactive programs using the Unity 3D authoring tool. Students will learn
                              essential elements of interactivity-- branching, control with mouse and/or keyboard,
                              etc.--forming the building blocks of the more complex structures found in game development.
                              Content will be created and edited by team members working in all of the primary digital
                              arts creation tools, including work in 3D using Blender, the premier open source modeling
                              and animation program. Class members, working as individuals and/or in small teams,
                              will explore and create works that combine traditional arts disciplines and media
                              (including performing and studio arts) with human interaction via the computer interface.
                              In addition to becoming familiar with the technical aspects of interactive multimedia,
                              the class will explore the aesthetic and conceptual dimensions. Open to all levels.",,Arts
57,ARTS 230,The Business of the Arts,3,TR 10:35-12:00 PM in DAC-135,Manon Hutton-DeWys,"This course aims to provide arts students with practical skills and knowledge to succeed
                              professionally in their discipline. Through a series of exercises and projects, students
                              will research opportunities such as grants, residencies, workshops, and graduate programs
                              in their areas of focus. Additionally, they will learn how to create promotional materials
                              like demo recordings and portfolios as well as artist bios and personal websites.
                              Other topics include arts-adjacent careers, intellectual property, taxes and personal
                              finance, the creative process, self-regard, and coping with rejection. Class sessions
                              will consist of discussions of short reading assignments, work on projects, and talks
                              with professional artists from the Simon’s Rock faculty and beyond. Students will
                              be assessed on their completed projects, several short writing assignments, and participation.","At least one previous course in the arts or one semester of private
                              music lessons.",Arts
21,PHIL 207,"WCP Daoism through Texts, Talks, and Taijiquan",3,MW 8:30-9:55 AM in DAC-108,Christopher Coggins,"Daoism has had a major impact on Chinese intellectual and spiritual life for over
                              two millennia. A philosophy that emphasizes individual development, immersion in nature,
                              the rejection of societal convention, and the cultivation of natural virtue, it has
                              been embraced by scholars, painters, poets, and political thinkers. A religion derived
                              from classical philosophy, folk practices, Buddhism, and Yogic techniques, it perseveres
                              in village rituals, global popular culture, and dissident sects like China's Falungong.
                              Taijiquan is a Daoist system of moving meditation and a martial art based on slowly
                              flowing and subtly configured motions. Practiced worldwide, it is ""the dance of Daoism,""
                              providing insight and personal experience of Daoist principles found in major texts
                              like the Dao De Jing, Zhuangzi, and Liezi. This course provides students with the
                              opportunity to read classical texts on Daoism and Taijiquan and to study the Thirteen
                              Postures, a Yang style form of Taijiquan. We also read Daoist nature poetry, Tang
                              dynasty Daoist short stories, and an account of the life of Guan Saihong, a Daoist
                              master (and if possible, we will have Guan visit the class). Our practice of Taijiquan
                              and work on textual interpretation is supplemented with free-ranging discussions (talks)
                              on Daoism in the spirit of the School of Pure Conversation, a Daoist group of the
                              first millennium that emphasized free expression and a sharpening of the imagination.",No prerequisites.,Social Studies
121,BIO 100,Introduction to Biology,4,MWF 9:00-9:55 AM in FSH-102,Sarah Snyder,"This course provides a comprehensive overview of the fundamental concepts, methods
                              of observation, and major currents of thinking in the life sciences today, laying
                              the groundwork for both the theoretical knowledge and the skills necessary for a deeper
                              understanding of the biological sciences. The three major topics covered are the molecular
                              basis of cellular function, organismal life strategies and evolution, and the flow
                              of matter and energy in the biosphere. Students will also build their observational
                              skills as well as skills in scientific literacy, experimental design, data analysis
                              and scientific writing. Students enrolled in this course must participate in the laboratory,
                              and there is a laboratory fee.",No prerequisites.,"Science, Math, and Computing"
137,BIO 100L A,Introduction to Biology Lab,0,T 9:00-11:55 AM in FSH-202,Daniel Wendekier,Students enrolled in BIO100 must also register for a lab section.,,
138,BIO 100L B,Introduction to Biology Lab,0,T 2:40-5:35 PM in FSH-202,Daniel Wendekier,Students enrolled in BIO100 must also register for a lab section.,,
119,BIO 201,Cellular & Molecular Biology,4,MWF 10:05-11:00 AM in FSH-102 and R 9:00-11:55 AM in FSH-202,Amy Smith,"To truly understand biological phenomena, such as how food becomes energy, how muscles
                              contract, and how organisms reproduce, one must look closely at the machinery and
                              functions within a single cell.  Cell & Molecular Biology introduces the chemical
                              and molecular basis of cells, focusing on how cells store, copy and use information,
                              acquire resources and energy, and communicate with each other, with the ultimate goal
                              of understanding how these processes go awry in the formation of cancer. In laboratory,
                              students will explore topics related to course content using the tools and techniques
                              of molecular biology while also practicing experimental design, data analysis and
                              scientific writing.",Biology 100 and one semester of college-level chemistry.,"Science, Math, and Computing"
194,BIO 222M 1,Marine Conservation (Montserrat study abroad students only),3,TBD,Sarah Snyder,no course description available,,"Science, Math, and Computing"
120,BIO 331,Neurobiology,4,MWF 1:35-2:30 PM in FSH-201 and R 2:40-5:35 PM in FSH-202,Amy Smith,"An examination of the fundamentals of nervous system function, this course begins
                              with the cell biology of neurons, and expands into an exploration of how nerves function
                              as part of larger neural circuits. We discuss sensory systems for vision, pain, taste,
                              sound, and balance. We also discuss the integration of nerve inputs in the motor system.
                              Finally, we cover topics of higher brain function, including topics such as emotion,
                              memory, behavior, and language. We explore current literature on important neurobiological
                              topics including neurological damage and disease and neurological and psychiatric
                              disorders.","Biology 201 and/or Biology 276, or permission of the instructor.","Science, Math, and Computing"
115,CHEM 101,Chemistry II,4,MWF 1:35-2:30 PM in FSH-113,Jessica Robbins,"This course is a continuation of Chemistry 100. Topics covered include solutions,
                              acid/base theory, kinetics, equilibria, thermodynamics of chemical reactions, electrochemistry,
                              and nuclear chemistry. The laboratory experiments mostly deal with classic qualitative
                              inorganic analysis; other experiments illustrate and magnify lecture topics. Laboratory
                              fee. Prerequisite: Completion of Chemistry 100 (with a grade of C or higher).",,"Science, Math, and Computing"
101,CHEM 101L A,Chemistry II Lab,0,T 9:00-11:55 AM in FSH-128,David Myers,Students enrolled in CHEM 101 must also enroll in a lab section.,,
139,CHEM 101L B,Chemistry II Lab,0,R 2:40-5:35 PM in FSH-128,Daniel Wendekier,Students enrolled in CHEM 101 must also enroll in a lab section.,,
100,CHEM 303,Organic Chemistry II,4,MWF 10:05-11:00 AM in FSH-113 and M 4:15-7:10 PM in FSH-128,David Myers,"This course is a continuation of Chemistry 302. Topics include reactions of radicals,
                              conjugation, aromaticity, aromatic substitution reactions, carbonyl compounds and
                              their addition reactions, acids and acid derivatives (amides, esters, anhydrides).
                              If time permits, special topics such as: carbohydrates, proteins, lipids, and pericyclic
                              reactions will be covered. All topics are aimed toward synthesis, and an understanding
                              of the reaction mechanisms, both of and utilizing the compounds of interest. The laboratory
                              experiments will deal with guided organic analysis, culminating in classical qualitative
                              organic analysis. Laboratory fee. Prerequisite: Chemistry 302 (with a grade of C or
                              higher), and all of its prerequisites.",,"Science, Math, and Computing"
102,CHEM 306,Inorganic Chemistry,4,TR 1:05-2:30 PM in FSH-113,David Myers,"This course examines in detail the chemistry of the main group and transition metal
                              elements, examining the effects of electron configuration in the determination of
                              the geometry and spin-state of inorganic complexes. Students also examine how the
                              size of an atom and the charge on it affect the compounds it forms and study the applications
                              of group theory to chemistry. This lays the base for further studies both in organometallic
                              chemistry and coordination chemistry. Prerequisite: Chemistry 101 and Mathematics
                              211 or higher (with a grade of C or higher) or permission of the instructor.",,"Science, Math, and Computing"
17,COM 205,"W Leadership, Writing, and Public Speaking for Social and Environmental Justice (OSUN)",3,TR 10:35-12:00 PM in ONL-,Jennifer Browdy,"It's not enough just to care about an issue, you also have to learn how to communicate
                              your passion in ways that inspire others to stand up and work for positive change.
                              Drawing on the writings and speeches of a variety of inspiring leaders, we will explore
                              the concept and practice of transformational leadership for social and environmental
                              justice. We will learn how to use heartfelt, persuasive rhetorical strategies, in
                              both writing and public speaking, to communicate our vision in a compelling manner.
                              Students will come away from this course more informed about pressing issues of social
                              and environmental justice, along with a toolkit of skills and tactics for inspiring
                              others, and a portfolio of their own efforts to write and speak out on issues they
                              care about.",,Language and Literature
124,CMPT 100,Introduction to Computer Science (Python),3,MWF 9:00-9:55 AM in FSH-112,Myo Thida,"This course is primarily designed for first-year undergraduate students as an introduction
                              to the field of computer science and fundamental concepts of computer programming.
                              It utilizes Python programming and is suitable for students without any prior programming
                              experience. Throughout the course, students will acquire knowledge in Python fundamentals,
                              data types, writing functions, debugging, and solving real-life problems using programming
                              concepts. No prerequisite.",,"Science, Math, and Computing"
5,CMPT 242,Programming in C/C++,3,TR 10:35-12:00 PM in FSH-201,Sami Alshalwi,"This course serves as a deep inspection of modern C++ programming language. The course
                              starts with a brief review of C and C++ basic syntax, leading to a discussion about
                              pointers and computer memory architecture. Important topics include concepts of object-oriented
                              programming, such as class inheritance and polymorphism, as well as the use of templates.
                              At the end of the course, students should be able to understand modern C++ standards
                              and to complete software projects using advanced programming techniques.",CMPT 100 or equivalent knowledge of programming basics.,"Science, Math, and Computing"
233,CMPT 251,Introduction to Operating Systems,3,MWF 10:05-11:00 AM in FSH-,Sami Alshalwi,"This course provides a comprehensive introduction to operating systems, focusing on
                              their design, architecture, and core functions. Topics include process management,
                              memory management, file systems, and resource allocation, with an emphasis on synchronization
                              and concurrency. Students will explore how operating systems manage hardware and software
                              resources while ensuring efficiency and security. Through lectures, hands-on labs,
                              and projects, participants will develop practical skills in operating systems programming
                              and gain a deeper understanding of the principles that underpin modern operating systems.
                              This course serves as a foundational step for advanced studies in computer science
                              and engineering.","Students typically need a foundational understanding
                              of computer science principles, programming skills (often in C language), and familiarity
                              with basic data structures. The prerequisites for this course are CMPT 100 (Introduction
                              to CS) and CMPT 242 (Programming in C/C++), or prior-permission from the instructor.","Science, Math, and Computing"
51,CMPT 252,Discrete Mathematics,3,MWF 10:05-11:00 AM in CL1-03,Miha Habic,"The mathematical foundations of computer science, including propositional and predicate
                              logic, sets, algorithm growth and asymptotic analysis, mathematical induction and
                              recursion, permutations and combinations, discrete probability, solving recurrences,
                              order relations, graphs, and trees. This is a required course for CMPT 243 (Algorithms
                              and Data Structures). Prerequisite: A 200-level Math course.",,"Science, Math, and Computing"
6,CMPT 321,Introduction to Databases,4,MWF 1:35-2:30 PM in FSH-102,Sami Alshalwi,"The course presents an introduction to database management systems (DBMS), with an
                              emphasis on using the system for modeling and querying information. The main focus
                              is on data models and database design, relational algebra and SQL, and data analytics,
                              with a short introduction to the internals of relational database engines. The course
                              includes a project, which involves developing an embedded database application. Prerequisite:
                              CMPT 100 and at least one additional programming course.",,"Science, Math, and Computing"
182,CMPT 326,Data Engineering Principles,4,TR 1:05-2:30 PM in FSH-112,Myo Thida,"This course provides an in-depth exploration of data engineering, combining foundational
                              concepts with hands-on experience in both traditional and modern technologies. It
                              covers the essential skills and knowledge needed to excel in the field of data engineering,
                              from database design to big data frameworks. Prerequisite: CMPT 100, CMPT 321 or Permission
                              from Instructor.",,"Science, Math, and Computing"
125,CMPT 364,Artificial Intelligence: Deep Learning,4,TR 10:35-12:00 PM in FSH-112,Myo Thida,"This course offers a practical, hands-on introduction to Deep Learning, focusing on
                              the fundamentals of neural networks, including Deep Neural Networks (DNNs), Convolutional
                              Neural Networks (CNNs), and Recurrent Neural Networks (RNNs). Students will learn
                              to apply these concepts effectively in practice using Python and popular libraries
                              such as Keras and PyTorch. The course emphasizes ethical AI, integrating best practices
                              with a focus on responsible and sustainable AI development. Students will complete
                              two individual projects, submit a detailed report documenting their findings, present
                              their work to the class, and/or create a poster to visually communicate their understanding
                              and application of deep learning concepts.","Students should possess strong mathematical and programming skills.
                              Required prerequisites include CMPT 100, CMPT 234 (Data Structures), and CMPT 370
                              (Supervised Machine Learning) or Prior-Permission from the Instructor. Knowledge of
                              MATH 220 (Linear Algebra), MATH 330 (Statistics I), and CMPT 252 (Discrete Math) is
                              recommended.","Science, Math, and Computing"
148,DANC 101/201,Beg. Modern Dance Technique,3,MW 2:40-4:05 PM in DAC-108,Kati Garcia-Renart,"This multi-level class introduces a modern dance technique that develops expressiveness,
                              proper alignment, efficient and clear movement, musicality, spatial awareness, coordination,
                              flexibility, strength, and the ability to dance with others. Course material consists
                              of warm-up exercises, dance combinations, anatomical information, and imagery. Short
                              readings and film clips introduce students to past and current dancers and choreographers.
                              Expectations are tailored to the student’s specific level of proficiency.  Students
                              must have completed 2 semesters of 100 level technique in order to advance to the
                              200 level.",,Arts
154,DANC 108,Dance Concert Workshop,1 p/f,W 6:00-7:30 PM in DAC-108,Kati Garcia-Renart,"This course is a biweekly meeting during which student choreographers and performers
                              present dance concert bound works in progress for constructive and guided feedback
                              from faculty and peers. Participants may function as choreographers, dancers, composers,
                              musicians, set designers, stage managers, technicians, etc.  The process culminates
                              in the final week of tech and dress rehearsal followed by two performances and a final
                              meeting to reflect on the process and the concert experience.  All students enrolled
                              in dance composition are required to attend and will not receive extra credit for
                              this class.  All other students who participate will receive one pass/fail credit.
                              Auditors are also welcome.",,
145,DANC 126/226/326,CP Flamenco Dance,3/4,MW 10:05-11:30 AM in DAC-116,Kati Garcia-Renart,"Flamenco dance, which originated in nineteenth century Spain and is known for its
                              emotional intensity, expressive use of the arms and rhythmic stamping of the feet,
                              has come into its own in the U.S in the past few decades. In this course students
                              will become familiar with basic flamenco vocabulary, arm and hand movements (braceo),
                              foot technique (taconeo), hand clapping (palmas) and specific rhythmic patterns and
                              themes of flamenco (palos). The flamenco courses also provide a historical and cultural
                              overview through discussion, texts, film, and research.",,Arts
152,DANC 230/330,Dance Composition,3/4,TR 1:05-2:30 PM in DAC-108,Kati Garcia-Renart,"Movement is a powerful means of communication, ranging from literal gesture to abstract
                              motion. This course explores strategies for movement invention and composition. Both
                              improvisation--the spontaneous generation of movement that is ephemeral--and choreography--the
                              setting of dances so they can be reconstructed--will be utilized. In this multi-level
                              class, students are given tools which will allow them to develop basic principles
                              of dance composition through themed improvisations, solo choreographies and group
                              composition.  Students learn to be critically aware of their own work and develop
                              effective communication skills when analyzing and critiquing the work of others. 
                              Improvisation and choreography will take place in class and for homework. Supplemental
                              readings, viewings, and attendance at on campus events are also required. Dance composition
                              students are required to attend Dance Concert Workshop.",,Arts
103,ECON 206,Intermediate Macroeconomics,3,TR 9:00-10:25 AM in LEC-LC,Daniel Neilson,"This course introduces students to prevailing economic theories used by today's policy
                              makers including Keynesian, monetarist, and heterodox. It considers all major economic
                              perspectives, including the central view that markets are a good way to organize the
                              economy, but that markets generate certain significant flaws that need to be fixed.
                              In discussing alternative economic theories and perspectives, the ultimate goal is
                              to increase and deepen students’ awareness and understanding of economic issues, to
                              improve their ability to evaluate various policy options, and to help them decipher
                              political-economic rhetoric. The emphasis is on a conceptual understanding of topics
                              such as economic growth, inflation, unemployment, the role of governments, and fiscal
                              and monetary policies. Looking at the macroeconomic performance of the United States,
                              the class examines the fundamental question of whether the capital accumulation process
                              will inevitably lead to sustained economic growth or to a cyclical pattern of boom
                              and bust. Students develop a sound theoretical and empirical understanding, which
                              enables them to think critically about macroeconomic policy options. Prerequisite:
                              One previous Economics course or permission of the instructor.",,Social Studies
105,ECON 228,Artificial intelligence and the new boundaries of relation,3,MW 10:05-11:30 AM in CL3-12,Daniel Neilson,"In this course, we study the consequences for economic relations of recent advances
                              in artificial intelligence. Prompted by the recent attention to natural-language chatbots,
                              notably ChatGPT, we consider the broader techno-social context in which these events
                              are unfolding (crypto monetary experiments, token-based authentication, always-on
                              high-bandwidth connectivity). Rather than taking technology as neutral or independent,
                              our work views it through the lens of material, frequently colonial, relations of
                              ownership, governance, management and surveillance. We consider, potentially reformulate,
                              and attempt to answer foundational questions posed by these new techno-social conditions:
                              ""What does it mean for work and labor to continue?"" ""How must our relationship to
                              text change?"" ""What education is worth the time?"" In the class, we also reimagine
                              pedagogical forms for these changed circumstances: in particular, we prioritize and
                              are accountable to our synchronous and in-person interactions. Students are encouraged
                              to develop their expressiveness and fluency in digital forms (programming languages,
                              digital graphic forms, virtual reality, digital socialities, network architecture,
                              etc.) in a final portfolio and related presentations.","Principles of
                              Economics or a previous 100-level course in the social studies, or permission of the
                              instructor.",Social Studies
90,ENVS 103/203,Natural History of Montserrat (Montserrat study abroad students only),4,TR 9:00-10:25 AM and R 2:40-5:35 PM in FSH-211,Donald McClelland,"Montserrat is a volcanic island in the Lesser Antilles.  It has a wide variety of
                              tropical habitats from extremely dry to extremely wet, and the volcano itself is currently
                              active.  This provides an extraordinary opportunity to investigate a wide variety
                              of phenomena in natural history in the field.  This course combines lecture-based
                              and field-based components to examine both the biotic and abiotic aspects of natural
                              history in Montserrat.  Focuses include botany, entomology, herpetology, ichthyology,
                              malacology, marine biology, ornithology, and volcanic geology and soils.","for the 100-level: none, for the 200-level: BIO 100 or ENVS 100.","Science, Math, and Computing"
89,ENVS 110M 1,Sweet History,2,WF 1:05-2:30 PM in FSH-211,Donald McClelland,"This course introduces students to the history, practice, and science of tapping maple
                              trees for the production of maple syrup. In the greater context of global climate
                              change the course also serves as a concrete example of what climate change means for
                              local food production systems as well as the regional environment now and in the future.
                              Tapping trees for maple sap is a long standing agricultural practice in New England
                              as well as in the Berkshires of Massachusetts. There is a small sugar bush and sugar
                              shack on campus and this course allows students to study sugaring through literature
                              and practice.",,"Science, Math, and Computing"
